LoL_Audio/Spells/ViEFx/missilelaunch,Play_sfx_Vi_ViEFx_missilelaunch
LoL_Audio/Spells/ViQ/buffdeactivate,Play_sfx_Vi_ViQ_buffdeactivate
LoL_Audio/Spells/ViQ/hit_champ,Play_sfx_Vi_ViQ_hit_champ
LoL_Audio/Spells/ViQ/hit_minion,Play_sfx_Vi_ViQ_hit_minion
LoL_Audio/Spells/ViR/buffactivate,Play_sfx_Vi_ViR_buffactivate
LoL_Audio/Spells/ViR/land,Play_sfx_Vi_ViR_land
LoL_Audio/Spells/ViRDunkTarget/buffactivate,Play_sfx_Vi_ViRDunkTarget_buffactivate
LoL_Audio/Spells/ViRDunkTarget/spin,Play_sfx_Vi_ViRDunkTarget_spin
LoL_Audio/Spells/ViRTarget/buffactivate,Play_sfx_Vi_ViRTarget_buffactivate
LoL_Audio/Spells/ViWBuff/hit_champ,Play_sfx_Vi_ViWBuff_hit_champ
LoL_Audio/Spells/ViWBuff/hit_minion,Play_sfx_Vi_ViWBuff_hit_minion
LoL_Audio/UnitVO/Vi/Death3D/cast,Play_sfx_Vi_Death3D_cast
LoL_Audio/UnitVO/Vi/Joke3D/buffactivate,Play_sfx_Vi_Joke3D_buffactivate
LoL_Audio/UnitVO/Vi/Taunt3D/buffactivate,Play_sfx_Vi_Taunt3D_buffactivate
LoL_Audio/UnitVO/Vi/Taunt3D2/buffactivate,Play_sfx_Vi_Taunt3D2_buffactivate
Dialogue/Vi/taunt3D_special,Play_vo_Vi_taunt3D_special
Dialogue/Vi/taunt3D2_special,Play_vo_Vi_taunt3D2_special
Dialogue/Vi/Interactive/Interactive3DChampionSpecific01,Play_vo_Vi_Interactive_Interactive3DChampionSpecific01
Dialogue/Vi/Interactive/Interactive3DChampionSpecific21,Play_vo_Vi_Interactive_Interactive3DChampionSpecific21
Dialogue/Vi/Interactive/Interactive3DChampionSpecific31,Play_vo_Vi_Interactive_Interactive3DChampionSpecific31
